Adjetivo;Alimento;Animal;App ou site;Artista;Ator;Automóvel;Ave;Banda;Bebida;Brinquedo;Cantor;Cantora;Cantor Brasileiro;Capital;Carro;Celebridade;CEP;Cidade;Cidade (USA /US);Cidade do Brasil;Comida;Comida saudavel;Condado (USA /US);Cor;Cor em Inglês;Desenho Animado;Doce;Doenca;Elemento Químico;Eletro eletronico;Especialidade (Área do Conhecimento);Esporte;Esportista;Fantasia;Filme;Filme do Brasil;Flor;FLV;Fruta;Game;Gentílico;Idioma;Ingrediente;Inseto;Instrumento musical;JLR;Liquido;Mamífero;Marca;Medo;Meio de transporte;Mineral;Moeda;Moto;msé;Música;Nome;Nome feminino;Nome Masculino;Novela;Objeto;País;Palavra em espanhol;Palavra em Ingles;Papa;PCH;PDA;Personagem;Personagem BBB;Personagem Bíblico (Bíblia);Personagem Ficticio;Presente;Profissão;Programa de TV;RAÇA DE CACHORRO;REMÉDIO;Sabor de pizza;Sabor de sorvete;Sentimento;Série;Sobrenome;SUPER-HEROI;Time;Time do Brasil;Verbo;Vestuario;Vilão
Idiota; Uvaia;;facebook.com; Ugo Foscolo; Samara Felippo; Ute;; U2;Pepsi;Playmobil;João Mineiro e Marciano ;Ylana Queiroga ; Simony ; Ulan Bator (Mongólia); Uno;Hugo Adami ; Manga; Unna; Ulysses; Xaxim; Uva;Tamarindo; Union;; Ultramarine (Azul Marinho); Ultra Maniac ;Mousse ;Conjuntivite; Urânio;;; Xadrez;HORTÊNCIA ;Harry Potter; Ultimate X; Urutau;Calla;;Cagaita; Uniracers; Ugandense;;Salsa;;;Kafka a beira do mar;Pepsi;Camelo; Unilever;;Bicitaxi; Yttria (Óxido de ítrio); Xelim; UH 200; Xardoso; Um Anjo; Marcos;Yara;Zoroastro; Uga Uga; Urinol;;Él,;yellow;;;Neck; Ururau; Uilliam; Yeshua;HAL 9000;legging;Bailarino ;Hora H ;cão de crista chinês;;Lombo; Uva;;Atlanta; Ulhoa;Yukk!; Universitario; Uberaba;Zarpar;legging;HAL 9000
Imbecil; Xerém;;finance.yahoo.com; Xie Zhiliu; Selton Mello ; Xantia;; Xandria;Pina colada;Pense Bem;Kamau ;Yudi Tamashiro ; Tânia Mara;Xanadu; Xsara;Irene Vilar ; México ; Xangai; Xenia;; Xixá;Uva; X??;; Xanadu (Xanadu); X-Men ;ovomaltine;Constipação; Xenônio;;;;HUGO PORTA ;Hippie; Xanadu; Xingu;Calêndula;;Cagaita; Xardion; Xexeuense;;Salsão;;;Kamasutra;Pina colada;Doninha; Xadrez;;Big rampa;;; XLR;; Xuxamego; Maria ;Wendy;Yago; Xica da Silva; Xícara;;Empezar;zoologic;;;Nightcrawler; Xuxu; Xaiane;;Hans Gruber;lenço;Balconista ;Intercine ;cavalier;;Lombo Especial; Xixá;;Atypical; Ximenes;Zorro; Xerez; Xanxerense;;lenço;Hans Gruber
Inteligente;;;foodnetwork.com;; Betty Lago;;;;Pisco;Quebra-cabeças;Leonardo ;Zezé Di Camargo e Luciano ; Bruna Karla;;;Isaac Newton ; Natal;;;;;Xixá;;;;;Pudim ;Depressão;;;;;IAN THORPE ;Homem aranha;;;Camomila;;Caimito;;;;Sálvia;;;Lincoln ;Pisco;Furão;;;Biposto;;;;;; Nara;;;;;;Encontrar;;;;Pica-Pau ;;;;Harry Lime;meia;Barbeiro ;Interligado ;Cavalier King Charles Spaniel;;Lombo com Catupiry;;;Baby;;;Asa;;;meia;Harry Lime
Jegue;;;forbes.com;; Cláudia Raia ;;;;Rum;Soldadinho de plástico;Luan Santana ;Zico e Zeca ; Chorão ;;;Ivan Serpa ; Nevada;;;;;Yuzu;;;;;Queijada ;Desmaio (Síncope);;;;;INIESTA ;Homem de lata;;;Camélia;;Caju;;;;Tahine;;;Lolita ;Rum;Gato/Gambá;;;Birreme;;;;;; Nilton ;;;;;;Entender;;;;Pinóquio;;;;Harry Powell;ombreira;Barman ;Jogo Aberto ;chihuahua;;Lombo com Cheddar;;;Babylon Berlin;;;Baraúnas;;;ombreira;Harry Powell
Jumenta;;;foxnews.com;; Edson Celulari;;;;Saque;Tamagotchi;Lucas Lucco ;Zizi Possi ; Ed Motta;;;Janine Borba ; Angola ;;;;;Zefati;;;;;Rabanada;Diabetes;;;;;IVANO BALIC ;Indio;;;Capuchinha;;Cajá;;;;Tomilho;;;Love Medicine;Saque;Impala;;;Bitrem;;;;;; Odair;;;;;;Entre;;;;Quasimodo;;;;J.J. Hunsecker;pijama;Bibliotecário ;Jornal Hoje ;chow chow;;Madalena;;;Bad Blood;;;Democrata;;;pijama;J.J. Hunsecker
Justa;;;gamepedia.com;; Fernanda Montenegro ;;;;Soda limonada;Telefone de lata;Michel Teló ;Zélia Duncan ; Fagner ;;;John Clare ; Butão ;;;;;Zitrone;;;;;Rapadura ;Diarréia e Disenteria;;;;;JAVIER SOTOMAYOR ;Jogador de futebol;;;Celósia;;Cajá-manga;;;;Urucum;;;Matadouro 5 ;Soda limonada;Javali;;;Boda Boda;;;;;; Olívia ;;;;;;Escuchar;;;;Rapunzel;;;;Jack Torrance;paletó;Bilheteiro ;Jovens Tardes ;cocker spaniel;;Maiale;;;Ballers;;;Empoli;;;paletó;Jack Torrance
Lerda;;;genius.com;; Helena Ranaldi;;;;Suco;Trenzinho;Nando Reis ;; Heloisa Rosa;;;Jorge Amado ; Colorado;;;;;;;;;;Sorvete ;Dispepsia, Má Digestão, Indigestão;;;;;JESSE OWENS ;Juiz de futebol;;;Chufa;;Calabaça;;;;Vinagre;;;Mau Começo ;Suco;Morsa;;;Bombardeiros;;;;;; Paulo;;;;;;Estar;;;;Riquinho ;;;;Joan Crawford;roupão;Biologista ;Karku (Karkú) ;Cocker Spaniel Americano;;Marguerita;;;Banshee;;;Gama;;;roupão;Joan Crawford
Linda;;;glassdoor.com;; Ítalo Rossi ;;;;Tequila;Zootropo;Netinho de Paula ;; Ivete Sangalo ;;;Keith Haring ; Dionísio;;;;;;;;;;Trufa ;Dor de Cabeça;;;;;JOE MONTANA ;Macaco;;;Ciclame;;Calabura;;;;Wasabi;;;Medo e Delírio em Las Vegas ;Tequila;Paca;;;Bonde;;;;;; Priscila ;;;;;;Fecha;;;;Scooby-Doo ;;;;Marcianos;sapato;Biomédico ;Legendários ;Cocker Spaniel Inglês;;Mexicana;;;Baptiste;;;Huracan;;;sapato;Marcianos
Louca;;;go.com;; Kadu Moliterno;;;;Uisque;;Orlando Silva ;; Kamau;;;Lia do Rio ; Espírito Santo;;;;;;;;;;Tâmara ;Enfisema;;;;;JOHAN CRUYFF ;Marilyn Monroe;;;Cinerária;;Cambuci;;;;Zimbro;;;Middlesex ;Uisque;Quati;;;Bote;;;;;; Queiroz;;;;;;Gracias;;;;She-Ra;;;;Max Cady;saia;Bispo ;Leão Livre ;collie;;Milho Verde;;;Barry;;;Joinville;;;saia;Max Cady
Mala;;;goodreads.com;; Lima Duarte ;;;;Vinho;;Oswaldo Montenegro ;; Luka ;;;Lima Barreto ; França ;;;;;;;;;;Xarope de guaraná;Estresse, Ansiedade, Nervosismo;;;;;JUAN MANUEL FANGIO ;Mulher maravilha;;;Clorofila;;Cambucá;;;;Zeste;;;Moneyball: O Homem que Mudou o Jogo ;Vinho;Suricate;;;Bote Inflável;;;;;; Quênia ;;;;;;Grande;;;;Superman;;;;Michael Corleone;sandália;Biógrafo ;Login ;Dachshund;;Mussarela;;;Bates Motel;;;Leiria;;;sandália;Michael Corleone
Meiga;;;google.com;; Nair Bello;;;;Whisky;;Ovelha ;; Negra Li;;;Lísipo ; Goiás;;;;;;;;;;;Fadiga Crônica;;;;;JULIO CESAR CHAVEZ ;Ninja;;;Clívia;;Caqui;;;;;;;Muito Longe de Casa ;Whisky;Tatu;;;Boxmover;;;;;; Rafael;;;;;;Gustar;;;;Tarzan;;;;Noah Cross;tênis;Biólogo ;Megatom ;Dachshund (Teckel);;Napolitana;;;Battlestar Galactica;;;Noroeste;;;tênis;Noah Cross
Metida;;;groupon.com;; Oscar Magrini ;;;;;;Pablo ;; Ovelha ;;;Maria Graham ; Havaí;;;;;;;;;;;Febre;;;;;KARCH KIRALY ;Palhaco;;;Colar-de-pérolas;;Carambola;;;;;;;Nascido para Correr ;;Veado;;;Brigue;;;;;; Regina ;;;;;;Haber;;;;Tom;;;;Norman Bates;terno;Boiadeiro ;Mixturação ;Dálmata;;Palmito;;;Battlestar Galactica: Blood and Chrome;;;Oeste;;;terno;Norman Bates
Neurótica;;;healthline.com;; Quimbé;;;;;;Paulo Ricardo ;; Quelynah ;;;Márcia X ; Itália ;;;;;;;;;;;Febre Amarela;;;;;KAREEM ABDUL JABBAR ;Pirata;;;Columéia-peixinho;;Cereja;;;;;;;O Amor nos Tempos do Cólera ;;Baleia;;;Buggy;;;;;; Sandra;;;;;;Hacer;;;;Ultraman;;;;O Caçador;tanga;Bombeiro ;Muvuca ;doberman;;Palmito Especial;;;Berlin Station;;;Queimadense;;;tanga;O Caçador
Nobre;;;homedepot.com;; Regina Duarte ;;;;;;Péricles ;; Sérgio Reis;;;Mário Quintana ; Jordânia ;;;;;;;;;;;Fraqueza, Cansaço, Fadiga;;;;;KARL MALONE ;Princesa;;;Copo de Leite;;Coco;;;;;;;O Apanhador no Campo de Centeio ;;Elefante/Esquilo;;;Bulldozer;;;;;; Sílvio ;;;;;;Hasta;;;;Visão;;;;Phyllis Dietrichson;vestido;Borracheiro ;NBlogs ;dogo argentino;;Parmegiana;;;Better Call Saul;;;Remo;;;vestido;Phyllis Dietrichson
Nojenta;;;ign.com;;;;;;;;Roberto Carlos ;;;;;Nadir Afonso ; Kohima;;;;;;;;;;;Furúnculos;;;;;KOBE BRYANT ;Romano;;;Coroa-de-Cristo;;Conde;;;;;;;O Conto da Aia ;;Hipopótamo;;;Cadeira de Rodas;;;;;;Thales;;;;;;Hola;;;;Wolverine;;;;Regan MacNeil / Pazuzu;xale;Botânico ;Nação ;Dogue Alemão;;Paulista;;;Better Things;;;Toledo/Treze;;;xale;Regan MacNeil / Pazuzu
Orgulhosa;;;imdb.com;;;;;;;;Ronnie Von ;;;;;Nancy Huston ; Limoeiro;;;;;;;;;;;Gases, Flatulência, Inchasso;;;;;LANCE ARMSTRONG ;Sereia;;;Cosmos de Chocolate;;Cupuaçu;;;;;;;O Décimo Primeiro Mandamento ;;Leão;;;Caiaque;;;;;;Thiago;;;;;;Hombre;;;;Xavier;;;;Regina Giddens;;Boxeador ;Note e Anote ;dogue de bordeaux;;Portuguesa;;;Beyond;;;Udinese;;;;Regina Giddens
Otária;;;indeed.com;;;;;;;;Sérgio Reis ;;;;;Nilo Previdi ; Minnesota;;;;;;;;;;;Gastroenterite;;;;;LARRY BIRD ;Storm Trooper;;;Cravina;;Damasco;;;;;;;O Diário de Anne Frank ;;Onça;;;Caminhão;;;;;;Ubiratan;;;;;;Hora;;;;Yoda;;;;Sr. Potter;;Cabeleireiro ;Olha Você ;dogue-alemao;;Q'Delícia;;;BH90210;;;Xerez;;;;Sr. Potter
Otimista;;;instagram.com;;;;;;;;Teodoro e Sampaio ;;;;;Odilon Redon ; Noruega ;;;;;;;;;;;Gengivite;;;;;LEBRON JAMES ;Super heroi;;;Cravo;;Dovyalis;;;;;;;O Grande Gatsby ;;Raposa/Rena;;;Campervan;;;;;;Ubaldo;;;;;;Ir;;;;Zorro;;;;Sra. Danvers;;Cabo ;Oradukapeta ;fila brasileiro;;Quatro Queijos;;;Big Little Lies;;;Zenit;;;;Sra. Danvers
Palhaça;;;irs.gov;;;;;;;;Thaeme e Thiago ;;;;;Ondina Pozoco ;;;;;;;;;;;;Gonorréia;;;;;MAGIC JOHNSON ;Vampiro;;;Crista-de-galo;;Durião;;;;;;;O Sol É Para Todos ;;Urso;;;Canoa;;;;;;Umbelina;;;;;;juego;;;;Zé Colméia ;;;;Sra. Joan Iselin;;Cacique ;Os Cupins ;Fox Paulistinha;;Quatro Stagione;;;Big Love;;;Cruz Azul;;;;Sra. Joan Iselin
Porca;;;khanacademy.org;;;;;;;;Toquinho ;;;;;Otto Dix ;;;;;;;;;;;;Hemorróida;;;;;MARADONA ;;;;Crisântemo;;Embaúba;;;;;;;On The Road ;;Zebu;;;Caravela;;;;;;Vagner;;;;;;Leer;;;;Zé Colméia.;;;;Terminator;;Cafeicultor ;Perfil ;golden retriever;;Romana;;;Billions;;;Fiorentina;;;;Terminator
Positiva;;;linkedin.com;;;;;;;;Ualas Baptista ;;;;;Paula Rego ;;;;;;;;;;;;Hepatite;;;;;MARK SPITZ ;;;;Cártamo;;Feijoa;;;;;;;Onde Vivem os Monstros ;;Bulafo;;;Cargueiro;;;;;;Vanderleia;;;;;;Llevar;;;;;;;;Tom Powers;;Caixa ;Popstars ;Greyhound;;Siciliana;;;Bitten;;;Ipatinga/Ibis;;;;Tom Powers
Querida;;;live.com;;;;;;;;Ulisses Guedes ;;;;;Pedro Américo ;;;;;;;;;;;;Hiperatividade;;;;;MARTA ;;;;Dendróbio;;Figo;;;;;;;Orgulho e Preconceito ;;Alpaca;;;Carreta;;;;;;Vanessa;;;;;;Malo,;;;;;;;;Tony Camonte;;Caldeireiro ;Provocações ;greyhound cachorro;;Texana;;;Black Lake;;;Macaé;;;;Tony Camonte
Retardada;;;login.yahoo.com;;;;;;;;Victor e Léo ;;;;;Pierre Bayle ;;;;;;;;;;;;Hipertensão (Alta Pressão Arterial);;;;;MARTINA HINGIS ;;;;Dente-de-leão;;Framboesa;;;;;;;Pé Na Estrada ;;Lebre;;;Carriole;;;;;;Wanessa;;;;;;Más;;;;;;;;Travis Bickle;;Camareira ;Qual é a Música? ;Griffon de Bruxelas;;Trento;;;Black Lightning;;;Paulista;;;;Travis Bickle
Ridicula;;;lowes.com;;;;;;;;Vinny ;;;;;Qi Baishi ;;;;;;;;;;;;Hipertireoidismo;;;;;MARTINA NAVRATILOVA ;;;;Dipladênia;;Fruta-do-conde;;;;;;;Persépolis ;;Hiena;;;Carro;;;;;;Wagner;;;;;;Mismo;;;;;;;;Tubarão;;Camelô ;Quarta Total ;husky siberiano;;Vegetariana;;;Black Mirror;;;Sousa;;;;Tubarão
Risonha;;;macys.com;;;;;;;;Xanddy ;;;;;Qorpo Santo ;;;;;;;;;;;;Hipotireoidismo;;;;;MESSI ;;;;Dália;;Fruta-pão;;;;;;;Servidão Humana ;;Homem;;;Carro americano;;;;;;Ximena;;;;;;Mucho;;;;;;;;Verbal Kint;;Caminhoneiro ;Quiz MTV ;jack russell terrier;;Veneza;;;Black Sails;;;Vasco;;;;Verbal Kint
Sacana;;;mail.yahoo.com;;;;;;;;Yudi Tamashiro ;;;;;Quirino da Silva ;;;;;;;;;;;;Incontinência Urinária;;;;;MICHAEL DOOHAN ;;;;Erva-doce;;Frutas do cerrado;;;;;;;Todos os Homens do Presidente ;;Vicunha;;;Carro de Bebê;;;;;;Yago;;;;;;Mujer;;;;;;;;Xenomorfo;;Capataz ;Radar ;kuvasz;;;;;Black Summer;;; Arsenal;;;;Xenomorfo
Safada;;;mapquest.com;;;;;;;;Zezé Di Camargo e Luciano ;;;;;Ratinho ;;;;;;;;;;;;Indigestão, Dispepsia;;;;;MICHAEL JOHNSON ;;;;Ervilha de Cheiro;;Glicosmis;;;;;;;Tudo Depende de Como Você Vê As Coisas ;;Zebra;;;Carroça;;;;;;Yara;;;;;;Muy;;;;;;;;;;Capitão ;Ressoar ;labrador;;;;;Black-ish;;; Barcelona;;;;
Simpática;;;mayoclinic.org;;;;;;;;Zico e Zeca ;;;;;Raul Gil ;;;;;;;;;;;;Inflamações;;;;;MICHAEL JORDAN ;;;;Espirradeira;;Goiaba;;;;;;;Uma Breve História do Tempo ;;;;;Carruagem;;;;;;Zuleide;;;;;;Nosotros;;;;;;;;;;Capoteiro ;Rockgol ;leao da rodesia;;;;;Blindspot;;; Dínamo;;;;
Tola;;;medicalnewstoday.com;;;;;;;; Adele ;;;;;Renina Katz ;;;;;;;;;;;;Insônia, Apnéia Do Sono;;;;;MICHAEL PHELPS ;;;;Estame;;Granadilla;;;;;;;Uma Dobra no Tempo ;;;;;Catamarã;;;;;;Zaira;;;;;;Nunca;;;;;;;;;;Caprinocultor ;Roda a Roda ;Leão da Rodésia – Rhodesian Ridgeback;;;;;Blood Drive;;; Estudiante;;;;
Trabalhadora;;;merriam-webster.com;;;;;;;; Akon;;;;;Romero Britto ;;;;;;;;;;;;Laringite, Rouquidão, Afonia;;;;;MICHAEL SCHUMACHER ;;;;Estrela-do-natal;;Graviola;;;;;;;Vale das Bonecas ;;;;;Cavalo;;;;;;;;;;;;Otro;;;;;;;;;;Caranguejeiro ;Satiricom ;Lhasa Apso;;;;;Bloodline;;; Genoa;;;;
Traíra;;;microsoft.com;;;;;;;; Beyoncé ;;;;;Sandra Cinto ;;;;;;;;;;;;Lúpus;;;;;MIKE TYSON ;;;;Eufórbia;;Groselha;;;;;;;Você está aí, Deus? Sou eu, Margaret ;;;;;Caça;;;;;;;;;;;;Para;;;;;;;;;;Carbonizador ;Stargame ;Lulu da Pomerânia (Spitz Alemão Anão);;;;;Blue Bloods;;; Huracán;;;;
Ultrapassada;;;mlb.com;;;;;;;; Celine Dion ;;;;;Silvio Santos ;;;;;;;;;;;;Malária;;;;;MONICA SELES ;;;;Flor-camarão;;Grumixama;;;;;;;Where the Sidewalk Ends ;;;;;Caíque;;;;;;;;;;;;Pensar;;;;;;;;;;Cardeal ;Super Pop ;Lulu da Pomerânia Spitz Alemão;;;;;Boardwalk Empire;;; Juventus;;;;
Única;;;msn.com;;;;;;;; Demi Lovato ;;;;;Siron Franco ;;;;;;;;;;;;Mau Hálito – Halitose;;;;;MUHAMMAD ALI ;;;;Flor-de-maio;;Guabiju;;;;;;;Windows 95: Guia do usuário;;;;;Cegonheira;;;;;;;;;;;;Poder;;;;;;;;;;Caricaturista ;Telecurso ;malamute do alasca;;;;;Bodyguard;;; Kashima Antlers;;;;
Útil;;;netflix.com;;;;;;;; Dr. Dre;;;;;Tarsila do Amaral ;;;;;;;;;;;;Nausea;;;;;NADIA COMANECI ;;;;Flor-de-mel;;Guabiroba;;;;;;;Xadrez Mortal;;;;;Chalana;;;;;;;;;;;;Poner;;;;;;;;;;Carpinteiro ;Tentação ;Maltês;;;;;Bonding;;; Milan;;;;
Vaca;;;nfl.com;;;;;;;; Enya ;;;;;Teolinda Gersão ;;;;;;;;;;;;Olhos Vermelhos;;;;;NIKOLAI ANDRIANOV ;;;;Flor-pelicano;;Guaraná;;;;;;;Xisto no espaço;;;;;Chalupa;;;;;;;;;;;;Por;;;;;;;;;;Carreiro ;Trolalá ;maremano abruzes;;;;;Bones;;; Nacional;;;;
Valente;;;nih.gov;;;;;;;; Fergie ;;;;;Tunga ;;;;;;;;;;;;Osteoporose;;;;;OSCAR ;;;;Frésia;;Guariroba;;;;;;;Zezinho dono da porquinha preta;;;;;Champiot;;;;;;;;;;;;Porque;;;;;;;;;;Carreteiro ;Ultranotícias ;mastiff;;;;;Bordertown;;; Porto;;;;
Virtuosa;;;npr.org;;;;;;;; Garth Brooks;;;;;Ugo Foscolo ;;;;;;;;;;;;Pé-de-Atleta;;;;;PELÉ ;;;;Gardênia;;Heisteria;;;;;;;;;;;;Charabanc;;;;;;;;;;;;Primero;;;;;;;;;;Carroceiro ;Uni Duni Tê ;Old English Sheepdog;;;;;Bosch;;; Querétaro;;;;
Workaholic;;;nytimes.com;;;;;;;; Gloria Estefan ;;;;;Ulrich Leman ;;;;;;;;;;;;Pedras Nos Rins;;;;;PETE SAMPRAS ;;;;Gerânio;;Himbeere;;;;;;;;;;;;Charrete;;;;;;;;;;;;Quién;;;;;;;;;;Carteiro ;Uá Uá ;Papillon;;;;;Boss;;; Sevilla;;;;
Xexelenta;;;office.com;;;;;;;; Hakim;;;;;Umberto Boccioni ;;;;;;;;;;;;Pele Oleosa;;;;;PLATINI ;;;;Girassol;;Ilama;;;;;;;;;;;;Chata;;;;;;;;;;;;realidad;;;;;;;;;;Cartomante ;Vestibulando ;Pastor Alemão (Capa Preta);;;;;Breaking Bad;;; Tijuana;;;;
;;;;;;;;;;; Ice Cube;;;;;;;;;;;;;;;;;;;;;;RAFAEL NADAL ;;;;;; Abacaxi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Ação ;;;;;;;;; Verona;;;;
;;;;;;;;;;; Jennifer Lopez ;;;;;;;;;;;;;;;;;;;;;;ROBERT SCHEIDT ;;;;;; Banana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Bambuluá ;;;;;;;;; Watford;;;;
;;;;;;;;;;; John Lennon;;;;;;;;;;;;;;;;;;;;;;ROCKY MARCIANO ;;;;;; Damasco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Dear (Sim;;;;;;;;; Yokohama;;;;
;;;;;;;;;;; Kirka;;;;;;;;;;;;;;;;;;;;;;ROGER FEDERER ;;;;;; Embaúba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Degrassi ;;;;;;;;; Zamora.;;;;
;;;;;;;;;;; Lara Li ;;;;;;;;;;;;;;;;;;;;;;ROGER MILLA ;;;;;; Gravatá;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Fantasia ;;;;;;;;; Corinthians;;;;
;;;;;;;;;;; Madonna ;;;;;;;;;;;;;;;;;;;;;;ROMÁRIO ;;;;;; Heisteria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Gentalha ;;;;;;;;; Fiorentina;;;;
;;;;;;;;;;; Michael Jackson;;;;;;;;;;;;;;;;;;;;;;RONALDO ;;;;;; Jatobá;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Ídolos ;;;;;;;;; Internazionale;;;;
;;;;;;;;;;; Nelly Furtado ;;;;;;;;;;;;;;;;;;;;;;SERENA WILLIAMS ;;;;;; Kabosu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Jogo Aberto ;;;;;;;;; Lazio;;;;
;;;;;;;;;;; Obie Trice;;;;;;;;;;;;;;;;;;;;;;SERGUEI BUBKA ;;;;;; Maçã;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Legendários ;;;;;;;;; Once Caldas;;;;
;;;;;;;;;;; Phil Mogg;;;;;;;;;;;;;;;;;;;;;;SHAQUILLE O´NEAL ;;;;;; Nêspera;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Mixturação ;;;;;;;;; Real Madrid;;;;
;;;;;;;;;;; Pixie Lott ;;;;;;;;;;;;;;;;;;;;;;SIMONE BILES ;;;;;; Pera;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Olha Você ;;;;;;;;; Universitario;;;;
;;;;;;;;;;; Quina Barreiros ;;;;;;;;;;;;;;;;;;;;;;STEFFI GRAF ;;;;;; Quiuí;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Perfil ;;;;;;;;; Xerez;;;;
;;;;;;;;;;; Rihanna ;;;;;;;;;;;;;;;;;;;;;;TIGER WOODS ;;;;;; Sapoti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Querida) ;;;;;;;;;;;;;
;;;;;;;;;;; Shakira ;;;;;;;;;;;;;;;;;;;;;;TINA THOMPSON ;;;;;; Tamarindo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Radar ;;;;;;;;;;;;;
;;;;;;;;;;; Stevie Wonder;;;;;;;;;;;;;;;;;;;;;;TOM BRADY ;;;;;; Veludo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Tentação ;;;;;;;;;;;;;
;;;;;;;;;;; Bambico;;;;;;;;;;;;;;;;;;;;;;USAIN BOLT ;;;;;; Wampi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Uá Uá ;;;;;;;;;;;;;
;;;;;;;;;;; Chris Brown;;;;;;;;;;;;;;;;;;;;;;VALENTINO ROSSI ;;;;;; Yuzu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Wiseguy (O Homem da Máfia) ;;;;;;;;;;;;;
;;;;;;;;;;; Eminem;;;;;;;;;;;;;;;;;;;;;;WAYNE GRETZKY ;;;;;; Zitrone.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; X-Tudo ;;;;;;;;;;;;;
;;;;;;;;;;; Flo Rida;;;;;;;;;;;;;;;;;;;;;;YELENA ISINBAYEVA ;;;;;; Caju;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Zapping ;;;;;;;;;;;;;
;;;;;;;;;;; Hadise ;;;;;;;;;;;;;;;;;;;;;;ZICO ;;;;;; Figo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Charme ;;;;;;;;;;;;;
;;;;;;;;;;; Inna ;;;;;;;;;;;;;;;;;;;;;;ZIDANE ;;;;;; Ingá;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Ecoprático ;;;;;;;;;;;;;
;;;;;;;;;;; Kesha ;;;;;;;;;;;;;;;;;;;;;;;;;;;; Limão;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Hebe ;;;;;;;;;;;;;
;;;;;;;;;;; Lucenzo;;;;;;;;;;;;;;;;;;;;;;;;;;;; Oxicoco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Karku (Karkú) ;;;;;;;;;;;;;
;;;;;;;;;;; Nelly;;;;;;;;;;;;;;;;;;;;;;;;;;;; Romã;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Nação ;;;;;;;;;;;;;
;;;;;;;;;;; Orianthi ;;;;;;;;;;;;;;;;;;;;;;;;;;;; Uva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Quarta Total ;;;;;;;;;;;;;
;;;;;;;;;;; Quim Barreiros;;;;;;;;;;;;;;;;;;;;;;;;;;;; Xixá;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Satiricom ;;;;;;;;;;;;;
;;;;;;;;;;; Rod Stewart;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Vitrine ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Yes;;;;;;;;;;;;;
